City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,karwar,14.8,74.1333,25.47,85,100,3.43,IN,1691455551
84,sao sebastiao do cai,-29.5867,-51.3756,15.1,96,97,2.27,BR,1691455302
85,el matama,16.7095,33.3565,31.17,50,8,2.97,SD,1691455551
86,stanley,54.868,-1.6985,12.06,88,0,5.66,GB,1691455551
87,papatowai,-46.5619,169.4708,6.52,72,77,6.82,NZ,1691455551
88,buldana,20.5333,76.1833,21.33,88,62,4.59,IN,1691455552
89,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,46,0,2.0,RU,1691455552
90,atafu village,-8.5421,-172.5159,28.37,70,7,5.7,TK,1691455552
91,port lincoln,-34.7333,135.8667,13.76,50,0,4.34,AU,1691455372
92,mareeba,-17.0,145.4333,18.6,56,28,4.35,AU,1691455552
93,nacala,-14.5428,40.6728,20.58,86,4,4.0,MZ,1691455553
94,whitehorse,60.7161,-135.0538,23.23,44,75,5.66,CA,1691455553
95,dunedin,-45.8742,170.5036,5.45,75,100,8.05,NZ,1691455446
96,karanja,20.4833,77.4833,22.8,87,95,4.32,IN,1691455553
97,saldanha,-33.0117,17.9442,13.03,94,0,2.72,ZA,1691455368
98,badger,64.8,-147.5333,21.95,61,100,2.06,US,1691455554
99,tocopilla,-22.092,-70.1979,18.39,77,29,3.89,CL,1691455554
100,libertad,8.9442,125.5019,30.82,62,12,0.77,PH,1691455554
101,xining,36.6167,101.7667,18.52,56,2,1.35,CN,1691455554
102,broken hill,-31.95,141.4333,12.44,49,0,3.55,AU,1691455554
103,hermanus,-34.4187,19.2345,13.22,86,4,2.65,ZA,1691455555
104,puerto ayora,-0.7393,-90.3518,25.98,88,100,3.58,EC,1691455555
105,arauca,7.0847,-70.7591,26.98,89,20,0.0,CO,1691455555
106,trairi,-3.2778,-39.2689,25.9,83,61,6.08,BR,1691455555
107,qaqortoq,60.7167,-46.0333,5.11,87,7,1.22,GL,1691455555
108,longyearbyen,78.2186,15.6401,6.91,93,75,3.6,SJ,1691455555
109,santa rosalia,27.3167,-112.2833,33.47,48,0,6.17,MX,1691455521
110,fort bragg,35.139,-79.006,23.79,100,75,2.57,US,1691455361
111,chinde,26.8418,88.0763,19.19,95,100,0.74,NP,1691455556
112,quesnel,52.9999,-122.5029,29.28,30,20,2.06,CA,1691455556
113,kapa'a,22.0752,-159.319,30.18,79,100,9.26,US,1691455436
114,ballina,-28.8667,153.5667,18.21,62,65,4.09,AU,1691455557
115,phalaborwa,-23.943,31.1411,14.6,65,0,1.92,ZA,1691455557
116,san antonio de pale,-1.4014,5.6325,22.47,83,100,4.5,GQ,1691455329
117,santa cruz,-17.8,-63.1667,27.7,51,75,2.06,BO,1691455372
118,kimbe,-5.5502,150.1429,28.13,68,76,5.72,PG,1691455349
119,gangtok,27.3333,88.6167,19.72,93,100,0.13,IN,1691455558
120,tromso,69.6496,18.957,11.01,93,75,3.6,NO,1691455558
121,yellowknife,62.456,-114.3525,18.29,48,40,3.09,CA,1691455412
122,baie-saint-paul,47.4411,-70.4986,18.87,88,100,2.33,CA,1691455558
123,namibe,-15.1961,12.1522,17.77,87,0,1.61,AO,1691455559
124,lethem,3.3803,-59.7968,27.41,71,31,0.61,GY,1691455559
125,uturoa,-16.7333,-151.4333,25.93,73,55,2.95,PF,1691455559
126,shanwei,22.782,115.3475,30.1,71,100,4.38,CN,1691455559
127,huarmey,-10.0681,-78.1522,19.61,81,51,4.26,PE,1691455345
128,sheksna,59.21,38.5107,18.43,83,0,4.07,RU,1691455560
129,kargasok,59.0556,80.8572,12.79,90,90,2.06,RU,1691455560
130,jamestown,42.097,-79.2353,20.01,93,100,3.6,US,1691455541
131,haiku-pauwela,20.9219,-156.3051,30.28,57,20,13.38,US,1691455560
132,sorong,-0.8833,131.25,26.49,77,61,6.69,ID,1691455560
133,yuzhno-kurilsk,44.0306,145.8556,14.54,98,100,5.16,RU,1691455561
134,jorpeland,59.0225,6.0408,11.73,97,100,16.23,NO,1691455514
135,mil'kovo,55.6078,37.7956,22.41,66,67,5.25,RU,1691455362
136,port alfred,-33.5906,26.891,16.12,88,4,4.41,ZA,1691455561
137,amga,60.8953,131.9608,19.07,32,36,3.77,RU,1691455561
138,brunico,46.7958,11.9364,7.84,90,100,0.55,IT,1691455562
139,abepura,-2.6333,140.5833,25.45,83,75,2.57,ID,1691455562
140,brownwood,31.7093,-98.9912,41.0,19,0,6.17,US,1691455495
141,mitu,1.1983,-70.1733,23.75,91,100,0.35,CO,1691455390
142,punta arenas,-53.15,-70.9167,2.0,74,100,3.46,CL,1691455563
143,nazare,-13.035,-39.0144,21.11,98,63,0.75,BR,1691455563
144,calvi,42.5,8.8333,15.35,55,0,2.06,FR,1691455563
145,tabuk,17.4189,121.4443,29.42,67,100,1.46,PH,1691455564
146,karratha,-20.7377,116.8463,24.09,39,0,5.68,AU,1691455409
147,byron bay,-28.65,153.6167,18.17,62,78,4.64,AU,1691455564
148,lefkada,38.8275,20.7019,20.95,88,20,0.0,GR,1691455564
149,ribeira grande,38.5167,-28.7,22.1,84,5,1.79,PT,1691455565
150,cutral-co,-38.9469,-69.2089,7.17,10,100,5.64,AR,1691455565
151,kiruna,67.8557,20.2251,14.51,100,100,1.54,SE,1691455565
152,botoroaga,44.1483,25.5447,16.04,86,100,2.05,RO,1691455565
153,suileng,47.25,127.0833,19.4,93,100,2.9,CN,1691455566
154,island harbour,50.724,-1.2758,14.4,86,60,4.18,GB,1691455566
155,mabamba,-3.5983,30.5019,18.42,52,96,0.66,TZ,1691455566
156,dudinka,69.4058,86.1778,16.46,58,100,2.95,RU,1691455566
157,waingapu,-9.6567,120.2641,26.49,65,3,8.87,ID,1691455567
158,lae,-6.7221,146.9847,28.32,57,3,1.07,PG,1691455567
159,constantia,44.1833,28.65,19.38,55,2,4.87,RO,1691455368
160,new norfolk,-42.7826,147.0587,12.18,59,4,1.43,AU,1691455567
161,castillos,-34.1667,-53.8333,7.68,80,0,3.51,UY,1691455343
162,yima,34.7381,111.8839,26.35,72,54,3.09,CN,1691455568
163,san sebastian de mariquita,5.1989,-74.893,26.72,66,99,1.63,CO,1691455568
164,artvin,41.1667,41.8333,20.39,65,0,1.21,TR,1691455568
165,ilebo,-4.3167,20.5833,21.49,77,76,0.74,CD,1691455568
166,mamuju,-2.6748,118.8885,28.31,69,4,0.15,ID,1691455569
167,port mathurin,-19.6833,63.4167,22.02,71,3,10.7,MU,1691455569
168,nar'yan-mar,67.6713,53.087,7.33,90,77,3.36,RU,1691455570
169,kamloops,50.6665,-120.3192,31.53,29,40,3.09,CA,1691455374
170,talnakh,69.4865,88.3972,16.23,55,100,1.27,RU,1691455570
171,touros,-5.1989,-35.4608,24.75,81,12,5.97,BR,1691455363
172,kill devil hills,36.0307,-75.676,28.88,84,0,6.69,US,1691455571
173,victoria,22.2855,114.1577,32.46,84,99,0.45,HK,1691455508
174,prachuap khiri khan,12.2167,99.75,26.27,73,100,4.39,TH,1691455571
175,port saint john's,-31.6229,29.5448,16.78,86,0,2.94,ZA,1691455377
176,rio preto da eva,-2.6994,-59.6997,29.28,42,98,1.46,BR,1691455571
177,kuraymah,18.55,31.85,31.74,43,99,4.29,SD,1691455572
178,poso,-1.3959,120.7524,28.75,63,12,1.05,ID,1691455572
179,ust-nera,64.5667,143.2,13.29,35,95,2.07,RU,1691455573
180,oodweyne,9.4092,45.064,21.15,60,10,7.93,SO,1691455574
181,nova sintra,14.8667,-24.7167,22.53,76,18,6.22,CV,1691455400
182,rawson,-43.3002,-65.1023,9.05,52,100,12.22,AR,1691455334
183,tshela,-4.9833,12.9333,18.75,96,68,0.6,CD,1691455575
184,thompson,55.7435,-97.8558,18.09,68,75,3.09,CA,1691455575
185,havre,49.5833,0.3333,15.87,82,100,5.14,FR,1691455575
186,shira,54.4911,89.9531,14.87,73,3,1.66,RU,1691455576
187,palmeira,-25.4294,-50.0064,16.36,87,100,3.69,BR,1691455576
188,gambela,8.25,34.5833,20.99,87,100,1.19,ET,1691455576
189,alice springs,-23.7,133.8833,17.75,42,4,6.17,AU,1691455577
190,nova vicosa,-17.8919,-39.3719,22.56,82,0,4.25,BR,1691455577
191,lobujya,27.95,86.8167,5.04,94,100,1.62,NP,1691455333
